Code,BirthYear,DeathYear,Sex,MumCode,MotherStatus,AgeWhenDied,FWSurvival,BirthWt
BOO15,2015,2023,1,YOG06,Milk,8,1,7.75
BRA77,1977,1988,1,ELG68,Milk,11,1,5.14
BRE91,1991,2001,1,BREND,Milk,10,1,5.11
BRS02,2002,2002,1,SKI94,Summer yeld,0,0,4.53
BSQ17,2017,2017,1,MAJ13,Naïve,0,0,6.09
BSY02,2002,2011,2,MLN97,Naïve,9,1,6.92
BSY04,2004,2010,1,MLN97,True yeld,6,1,6.48
BSY06,2006,2010,2,MLN97,True yeld,4,1,7.78
BUA21,2021,2021,2,GLE16,Milk,0,0,6.58
BUS90,1990,1992,1,PEC86,Naïve,2,1,6.41
BUS92,1992,2001,1,PEC86,True yeld,9,1,7.02
BUT02,2002,2017,1,BCL93,Winter yeld,15,1,7.09
BUT96,1996,2008,1,BCL93,Naïve,12,1,4.84
BYL19,2019,2021,1,ONY15,Naïve,2,1,6.53
BYL21,2021,2021,1,ONY15,True yeld,0,0,7.08
CAF89,1989,2001,1,MAX84,Naïve,12,1,5.96
CAF93,1993,2002,1,MAX84,True yeld,9,1,6.79
CAI69,1969,1970,2,CAILL,Naïve,1,1,5.54
CAM15,2015,2015,2,MNM07,Summer yeld,0,0,9.08
CAN80,1980,1991,1,WHI73,Summer yeld,11,1,8.02
CAN87,1987,1994,1,WHI73,Summer yeld,7,1,6.40
CBS17,2017,2017,1,ZUC03,True yeld,0,0,3.11
CCK07,2007,2018,1,DTN04,Naïve,11,1,6.11
CDN15,2015,2021,2,HOC07,Winter yeld,6,1,6.55
CED02,2002,2009,1,SEQ95,True yeld,7,1,6.08
CED04,2004,2010,1,SEQ95,Milk,6,1,6.81
CEL94,1994,1994,2,AST90,Naïve,0,0,7.64
CER08,2008,2011,2,PRC02,Summer yeld,3,1,9.78
CES19,2019,2022,1,DAK12,True yeld,3,1,6.55
CGH94,1994,2010,1,WHA87,Winter yeld,16,1,5.04
CGH97,1997,2005,2,WHA87,True yeld,8,1,6.84
CHF07,2007,2011,1,WAG95,True yeld,4,1,7.34
CHI89,1989,1995,1,PGB83,True yeld,6,1,6.62
CHL02,2002,2003,1,PEP91,True yeld,1,1,6.74
CHM10,2010,2022,2,HOC05,True yeld,12,1,5.94
CHM15,2015,2020,2,HOC05,Milk,5,1,7.45
CHN05,2005,2009,2,TRT97,Summer yeld,4,1,8.82
CHN06,2006,2019,1,TRT97,Milk,13,1,7.92
CHO72,1972,1981,2,CHOCH,Summer yeld,9,1,5.54
CHU97,1997,1997,2,PIC91,True yeld,0,0,8.00
CHY12,2012,2016,1,CHK07,Naïve,4,1,6.48
CHY14,2014,2017,1,CHK07,True yeld,3,1,6.02
CLE81,1981,1981,1,CLEOP,Summer yeld,0,0,5.90
CLM82,1982,1988,1,CLE74,True yeld,6,1,7.10
CLS17,2017,2020,1,GLR13,Milk,3,1,5.99
CLS19,2019,2022,1,GLR13,Milk,3,1,6.14
CLS20,2020,2022,1,GLR13,Milk,2,1,7.74
CMR02,2002,2006,2,CLT97,Summer yeld,4,1,6.58
CMT06,2006,2011,2,MLN00,Summer yeld,5,1,
CMT14,2014,2014,1,MLN00,True yeld,0,0,8.72
CND02,2002,2004,1,TIN98,Naïve,2,1,6.23
CND07,2007,2015,2,TIN98,Milk,8,1,7.85
CNE05,2005,2005,2,TUS01,Milk,0,0,6.68
COB80,1980,1996,1,COL74,Milk,16,1,5.94
COL75,1975,1979,1,COLLE,Milk,4,1,2.84
COM16,2016,2017,1,APA10,True yeld,1,1,6.04
COM18,2018,2023,1,APA10,Summer yeld,5,1,6.00
COM19,2019,2022,1,APA10,Milk,3,1,6.91
COM20,2020,2022,1,APA10,Milk,2,1,5.74
COM21,2021,2022,1,APA10,Milk,1,1,5.14
COQ94,1994,2002,1,FIL90,Milk,8,1,6.76
COT79,1979,1985,1,COL75,Milk,6,1,5.68
COW79,1979,1991,1,PGB75,Naïve,12,1,5.25
COY75,1975,1981,1,COYHI,Summer yeld,6,1,8.58
CPS00,2000,2002,1,PEP93,Winter yeld,2,1,6.84
CPS97,1997,2005,1,PEP93,Naïve,8,1,6.38
CPS99,1999,1999,1,PEP93,True yeld,0,0,6.46
CRA83,1983,1983,1,BIG76,Milk,0,0,6.66
CRB97,1997,2006,1,MOC84,Milk,9,1,6.98
CRC91,1991,2002,1,TUR87,Naïve,11,1,7.02
CRD96,1996,1999,1,FIN93,Naïve,3,1,5.23
CRE80,1980,1992,2,CLE76,Naïve,12,1,6.04
CRE84,1984,1989,2,CLE76,True yeld,5,1,7.26
CRM99,1999,2010,1,OCH96,Naïve,11,1,5.76
CRS92,1992,1995,1,CHI89,Naïve,3,1,5.84
CRT70,1970,1971,2,CROTT,Naïve,1,1,6.42
CRT71,1971,1979,1,CROTT,Winter yeld,8,1,7.18
CRT81,1981,1981,2,CROTT,True yeld,0,0,7.30
CSH13,2013,2013,2,WAL03,Winter yeld,0,0,5.18
CSH14,2014,2014,1,WAL03,Winter yeld,0,0,3.68
CUM02,2002,2002,2,CRC91,True yeld,0,0,8.92
CUM97,1997,2000,1,CRC91,True yeld,3,1,7.16
CUM98,1998,2001,1,CRC91,Milk,3,1,7.38
CUR85,1985,1994,2,UPT74,Milk,9,1,7.08
CWR92,1992,1992,2,LIM80,Winter yeld,0,0,5.23
DAI12,2012,2018,2,MRG03,True yeld,6,1,7.54
DAI14,2014,2014,2,MRG03,True yeld,0,0,6.52
DAK15,2015,2020,2,SOX08,Summer yeld,5,1,8.41
DAW09,2009,2013,2,SLO05,Naïve,4,1,6.04
DEC79,1979,1983,1,COY75,Naïve,4,1,4.66
DEC81,1981,1984,2,COY75,True yeld,3,1,8.42
DEO05,2005,2008,1,CED99,True yeld,3,1,6.58
DIC90,1990,2002,2,HIC84,Milk,12,1,7.92
DIC95,1995,2016,1,HIC84,Milk,21,1,6.46
DIL99,1999,2007,2,FEN90,Winter yeld,8,1,7.04
DOC95,1995,2008,2,HIC88,Milk,13,1,7.58
DOR75,1975,1979,2,YTA72,Naïve,4,1,7.84
DOR82,1982,1991,1,YTA72,True yeld,9,1,7.54
DRE12,2012,2018,2,PRC09,Naïve,6,1,6.01
DRE15,2015,2018,2,PRC09,Milk,3,1,5.13
DRP04,2004,2005,1,SAX99,Summer yeld,1,1,7.22
DTN04,2004,2009,1,TRT00,Naïve,5,1,5.73
DUB06,2006,2006,2,STI02,Naïve,0,0,4.62
DUB13,2013,2016,1,STI02,Winter yeld,3,1,6.68
DUB14,2014,2018,1,STI02,Milk,4,1,7.78
DUB15,2015,2020,1,STI02,Milk,5,1,6.15
DUI89,1989,1992,1,DOR82,True yeld,3,1,5.16
DUI91,1991,1991,1,DOR82,True yeld,0,0,6.94
EDA10,2010,2010,1,CHD05,Winter yeld,0,0,5.52
EDD13,2013,2021,1,RUF09,Naïve,8,1,4.61
EDD14,2014,2019,2,RUF09,Milk,5,1,5.38
ELK17,2017,2021,1,LEI13,Naïve,4,1,7.61
ELK18,2018,2023,1,LEI13,Milk,5,1,7.78
ELK21,2021,2022,2,LEI13,Milk,1,1,7.54
EMB08,2008,2013,1,CND04,Naïve,5,1,6.48
EMB13,2013,2013,1,CND04,Milk,0,0,4.03
EME21,2021,2021,2,PRL17,Naïve,0,0,7.54
EOL91,1991,1991,2,CAN80,True yeld,0,0,7.28
FAL03,2003,2009,1,CHP94,True yeld,6,1,7.54
FAL99,1999,2009,1,CHP94,Summer yeld,10,1,5.76
FDL03,2003,2016,1,VIO89,True yeld,13,1,6.55
FEA94,1994,2002,1,PLO82,Milk,8,1,5.72
FEN89,1989,1999,1,RED82,True yeld,10,1,5.44
FEN90,1990,2003,1,RED82,Milk,13,1,6.04
FIB13,2013,2013,1,FMR06,Milk,0,0,5.69
FIL90,1990,1996,1,EIF81,True yeld,6,1,7.74
FIN93,1993,2001,1,FEN89,Naïve,8,1,5.06
FIN97,1997,1999,1,FEN89,Milk,2,1,5.94
FLA85,1985,1992,1,UPT79,Summer yeld,7,1,7.28
FLA93,1993,2008,2,UPT79,True yeld,15,1,6.42
FLG00,2000,2015,2,ANK90,True yeld,15,1,6.20
FLG97,1997,2000,1,ANK90,Summer yeld,3,1,6.74
FLU13,2013,2014,1,PCO06,Summer yeld,1,1,6.21
FMR06,2006,2013,1,HOL00,True yeld,7,1,6.88
FMR09,2009,2010,2,HOL00,Winter yeld,1,1,7.71
FNY01,2001,2001,1,FOP97,Naïve,0,0,3.52
FOL75,1975,1982,2,MOD72,Naïve,7,1,5.87
FOL81,1981,1989,2,MOD72,Summer yeld,8,1,7.96
FRA01,2001,2001,2,PEN90,Summer yeld,0,0,7.94
FRA95,1995,2001,2,PEN90,Milk,6,1,6.64
FRA98,1998,2009,2,PEN90,True yeld,11,1,8.81
FRE83,1983,1993,1,THO78,Summer yeld,10,1,6.68
FRE89,1989,1993,1,THO78,True yeld,4,1,5.48
FRT02,2002,2008,2,BUT96,True yeld,6,1,6.30
FRT06,2006,2022,1,BUT96,Milk,16,1,6.28
FRT08,2008,2008,2,BUT96,Milk,0,0,5.86
FTH05,2005,2009,2,WSD00,True yeld,4,1,8.04
FTH07,2007,2009,2,WSD00,True yeld,2,1,8.16
FUL90,1990,1998,2,MAW79,Milk,8,1,6.87
GEM85,1985,1985,2,POL79,Winter yeld,0,0,5.48
GEM91,1991,1991,2,POL79,Winter yeld,0,0,5.91
GIN93,1993,2007,1,JUN85,Winter yeld,14,1,5.54
GIS21,2021,2023,1,ELK18,Naïve,2,1,4.84
GLE16,2016,2021,1,SML13,Naïve,5,1,6.55
GLI04,2004,2006,2,HON00,Naïve,2,1,6.98
GLR20,2020,2020,1,LPA02,Milk,0,0,5.96
GLZ15,2015,2016,1,MAJ12,Naïve,1,1,6.55
GLZ16,2016,2016,1,MAJ12,Milk,0,0,6.43
GNB07,2007,2017,1,SLO01,True yeld,10,1,7.74
GOB02,2002,2002,1,CSK98,Naïve,0,0,4.73
GRA02,2002,2009,1,FAN90,Winter yeld,7,1,5.32
GRA04,2004,2004,2,FAN90,Milk,0,0,5.37
GRE74,1974,1980,2,GREET,Milk,6,1,6.58
GTO23,2023,2023,2,BOO15,True yeld,0,0,7.14
GYP05,2005,2008,2,TIN00,Summer yeld,3,1,7.04
GYP09,2009,2011,2,TIN00,True yeld,2,1,7.08
GYP16,2016,2016,2,TIN00,True yeld,0,0,6.10
HAL87,1987,1993,1,TUR83,Naïve,6,1,6.62
HAL95,1995,2006,1,TUR83,Milk,11,1,7.34
HAR84,1984,1984,2,MOY76,True yeld,0,0,7.00
HAW00,2000,2000,1,SUR91,Milk,0,0,7.23
HAW99,1999,2010,2,SUR91,True yeld,11,1,10.48
HEB00,2000,2000,1,BEE94,True yeld,0,0,6.18
HEB98,1998,2002,1,BEE94,Naïve,4,1,6.20
HED01,2001,2018,1,IVY97,Naïve,17,1,3.60
HED06,2006,2007,1,IVY97,True yeld,1,1,6.24
HED12,2012,2016,1,IVY97,True yeld,4,1,5.66
HER93,1993,1999,1,MAC87,True yeld,6,1,6.59
HER95,1995,1996,1,MAC87,Milk,1,1,6.32
HES80,1980,1989,1,CLC75,Milk,9,1,6.23
HEX17,2017,2017,1,HED08,True yeld,0,0,5.24
HIA08,2008,2020,2,PID97,Summer yeld,12,1,5.23
HIC84,1984,1999,1,BLT75,Winter yeld,15,1,7.68
HIC92,1992,1992,1,BLT75,Summer yeld,0,0,5.14
HIM12,2012,2012,1,OXY06,True yeld,0,0,5.04
HNY14,2014,2020,1,NEC08,True yeld,6,1,7.98
HNY17,2017,2017,2,NEC08,Summer yeld,0,0,9.26
HOC01,2001,2001,2,HOL97,Naïve,0,0,5.14
HON02,2002,2004,2,SUN93,True yeld,2,1,6.30
HOP12,2012,2020,2,FTH08,Naïve,8,1,6.44
HRM00,2000,2000,1,INI86,Milk,0,0,4.12
HRM95,1995,2004,1,INI86,Summer yeld,9,1,6.74
HRN01,2001,2001,1,EGR96,Summer yeld,0,0,5.50
HRT16,2016,2016,2,WAS10,Milk,0,0,7.74
HUD16,2016,2016,2,LPA12,Naïve,0,0,7.03
IND92,1992,1999,1,HAL87,Naïve,7,1,6.64
IVO96,1996,2006,2,EBO90,True yeld,10,1,7.24
JAD09,2009,2011,2,RBY03,True yeld,2,1,6.64
JAE03,2003,2010,2,BNX95,Milk,7,1,7.04
JAE05,2005,2017,2,BNX95,True yeld,12,1,8.12
JEE03,2003,2012,2,HAL90,True yeld,9,1,6.62
JEP16,2016,2018,1,CHK12,Summer yeld,2,1,7.02
JMC18,2018,2020,2,RAS13,Summer yeld,2,1,7.18
JUG90,1990,2004,2,BRF79,True yeld,14,1,8.32
JUN81,1981,1982,2,BET73,Summer yeld,1,1,7.66
KAN18,2018,2018,2,WIC13,True yeld,0,0,6.04
KAR02,2002,2011,2,TKN94,True yeld,9,1,7.82
KIW92,1992,1992,2,BLO75,Winter yeld,0,0,4.52
KKA21,2021,2023,2,WAL11,Milk,2,1,5.94
KLD03,2003,2004,1,BNX94,Milk,1,1,7.98
KLD06,2006,2021,2,BNX94,Milk,15,1,7.74
KNO99,1999,2008,2,TRK87,True yeld,9,1,
KRB04,2004,2004,2,ALD01,Naïve,0,0,4.84
KRB05,2005,2005,1,ALD01,Winter yeld,0,0,5.85
LAC02,2002,2006,2,BCL95,True yeld,4,1,7.88
LAP81,1981,1988,1,MOL75,True yeld,7,1,5.78
LAV09,2009,2011,2,CLK06,Naïve,2,1,6.14
LCH12,2012,2013,1,CED00,True yeld,1,1,8.41
LEI12,2012,2018,1,RAP06,True yeld,6,1,7.82
LEI15,2015,2019,1,RAP06,True yeld,4,1,7.41
LIL06,2006,2010,1,THU96,True yeld,4,1,6.94
LIT75,1975,1982,1,LITLH,Milk,7,1,5.17
LMS05,2005,2015,1,GOD94,Winter yeld,10,1,6.54
LMS07,2007,2012,1,GOD94,Milk,5,1,7.68
LOB89,1989,1989,1,TOR78,Winter yeld,0,0,3.94
LPA02,2002,2020,1,LMS97,Summer yeld,18,1,6.26
LPA08,2008,2010,2,LMS97,Summer yeld,2,1,7.55
LPA09,2009,2012,1,LMS97,Milk,3,1,6.52
LPA12,2012,2016,1,LMS97,Summer yeld,4,1,6.78
LPA13,2013,2013,1,LMS97,Milk,0,0,3.92
LTE02,2002,2005,1,CAF98,Naïve,3,1,6.02
LUN10,2010,2010,2,BSY04,Milk,0,0,6.84
LUT08,2008,2021,1,FDL03,Naïve,13,1,4.60
LUT10,2010,2017,1,FDL03,True yeld,7,1,4.56
LYR14,2014,2018,2,LUT08,True yeld,4,1,7.66
LYR16,2016,2018,1,LUT08,True yeld,2,1,6.98
LYR20,2020,2021,1,LUT08,Milk,1,1,6.52
MAJ10,2010,2017,2,PRC06,Naïve,7,1,4.83
MAJ12,2012,2016,1,PRC06,True yeld,4,1,7.94
MAJ13,2013,2017,1,PRC06,Milk,4,1,8.18
MAJ14,2014,2021,1,PRC06,Milk,7,1,7.58
MAJ20,2020,2022,2,PRC06,Milk,2,1,6.42
MAP07,2007,2009,2,CED02,Summer yeld,2,1,6.38
MAR95,1995,2011,1,MAW83,Summer yeld,16,1,5.14
MAS99,1999,2004,1,TUR85,True yeld,5,1,7.18
MCC21,2021,2022,1,SHO17,Naïve,1,1,7.36
MCU12,2012,2017,1,MNG09,Naïve,5,1,6.74
MCU17,2017,2022,1,MNG09,Summer yeld,5,1,7.52
MDR02,2002,2003,1,TIK98,Naïve,1,1,6.64
MED01,2001,2001,2,APH98,Naïve,0,0,3.62
MEE05,2005,2021,1,YEW99,True yeld,16,1,6.08
MEE08,2008,2011,2,YEW99,True yeld,3,1,6.28
MEG11,2011,2011,1,MAR95,Summer yeld,0,0,6.48
MES22,2022,2023,2,COM18,Naïve,1,1,7.64
MIC08,2008,2009,2,SCR04,Naïve,1,1,6.14
MIC17,2017,2017,1,SCR04,Summer yeld,0,0,7.34
MLA18,2018,2022,1,RAS12,True yeld,4,1,6.59
MLA20,2020,2022,2,RAS12,Milk,2,1,8.41
MLN00,2000,2014,1,BEE93,True yeld,14,1,8.05
MLN02,2002,2006,2,BEE93,True yeld,4,1,7.84
MLN07,2007,2010,2,BEE93,True yeld,3,1,8.28
MND99,1999,2014,2,FDL94,Winter yeld,15,1,3.50
MNG12,2012,2013,2,TRT03,Summer yeld,1,1,7.82
MNG13,2013,2013,2,TRT03,Milk,0,0,
MNM07,2007,2015,1,CHN03,Naïve,8,1,7.60
MNN05,2005,2005,2,DIL01,Naïve,0,0,7.44
MNS09,2009,2011,2,STR96,True yeld,2,1,6.94
MNT01,2001,2003,1,SUR95,True yeld,2,1,5.54
MNT04,2004,2009,1,SUR95,Milk,5,1,7.02
MNT08,2008,2009,1,SUR95,True yeld,1,1,9.20
MOL75,1975,1987,1,MOM65,Milk,12,1,6.94
MOL83,1983,1983,2,MOM65,True yeld,0,0,4.54
MOP80,1980,1980,2,MOM68,Summer yeld,0,0,5.94
MOU00,2000,2005,2,DIC94,Milk,5,1,7.43
MOU05,2005,2014,2,DIC94,True yeld,9,1,8.82
MOU08,2008,2011,2,DIC94,Winter yeld,3,1,8.12
MOU09,2009,2016,2,DIC94,Milk,7,1,7.46
MOZ03,2003,2018,2,BIE97,Milk,15,1,8.98
MRI20,2020,2020,1,CLS17,Naïve,0,0,5.74
MRY02,2002,2014,2,MAR93,True yeld,12,1,7.76
MUS81,1981,2000,1,RED74,True yeld,19,1,7.54
MUS84,1984,2000,1,RED74,Milk,16,1,7.14
MUS85,1985,2002,1,RED74,Milk,17,1,7.72
NAK90,1990,2000,1,FLA85,Milk,10,1,6.24
NAK92,1992,1992,2,FLA85,True yeld,0,0,8.12
NAV16,2016,2021,2,SEQ05,Milk,5,1,6.84
NEC02,2002,2011,2,SPL98,Naïve,9,1,5.32
NEC08,2008,2017,1,SPL98,True yeld,9,1,8.61
NEP96,1996,1999,1,IND92,Naïve,3,1,6.44
NET08,2008,2008,2,DOC94,Milk,0,0,6.94
NIV02,2002,2002,2,SAX97,Summer yeld,0,0,3.82
NOB78,1978,1987,2,BUL65,Summer yeld,9,1,5.18
NON86,1986,1990,1,NOB76,Winter yeld,4,1,4.40
NYM98,1998,2001,1,APH95,Naïve,3,1,6.32
OCC88,1988,1991,1,CLC80,True yeld,3,1,6.78
OCC89,1989,2000,1,CLC80,Milk,11,1,6.83
OCH83,1983,1997,2,SAF80,Naïve,14,1,6.42
OCT22,2022,2022,2,PKN18,Naïve,0,0,7.48
ONY13,2013,2017,1,RBY05,Milk,4,1,6.28
ONY15,2015,2021,1,RBY05,Milk,6,1,5.52
OPA99,1999,2004,1,STO96,Naïve,5,1,5.76
ORA12,2012,2012,2,ANM02,Summer yeld,0,0,6.86
ORG01,2001,2001,2,CUM98,Naïve,0,0,6.28
ORY12,2012,2023,2,JAE02,True yeld,11,1,6.73
OTA71,1971,1973,1,OTAGG,Milk,2,1,6.58
OTA72,1972,1976,1,OTAGG,Milk,4,1,8.92
OTA80,1980,1996,1,OTAGG,Summer yeld,16,1,6.70
OTT89,1989,2001,1,SCO83,Summer yeld,12,1,5.60
OVA00,2000,2002,1,CAF93,True yeld,2,1,7.29
OXA95,1995,2002,1,SRL91,Naïve,7,1,6.32
OXA99,1999,2003,1,SRL91,True yeld,4,1,8.12
PAN06,2006,2020,1,PID95,Milk,14,1,6.28
PCL02,2002,2010,1,PIC98,Naïve,8,1,5.84
PCL06,2006,2010,2,PIC98,True yeld,4,1,7.66
PCN10,2010,2018,1,WAL02,Summer yeld,8,1,4.78
PCN11,2011,2017,1,WAL02,Milk,6,1,5.34
PCO06,2006,2017,1,VIO97,True yeld,11,1,6.74
PEC81,1981,1991,1,SCO76,Summer yeld,10,1,7.52
PEC90,1990,2001,2,SCO76,Milk,11,1,6.68
PEL89,1989,2000,2,MOS83,True yeld,11,1,6.28
PEP90,1990,1998,1,MUS81,True yeld,8,1,6.60
PEP91,1991,2003,1,MUS81,Milk,12,1,7.62
PET88,1988,1991,1,FAG79,Milk,3,1,4.71
PGB83,1983,1999,1,SOB68,True yeld,16,1,7.11
PHA10,2010,2012,1,LPA04,True yeld,2,1,7.74
PHA12,2012,2013,1,LPA04,Milk,1,1,7.64
PIC91,1991,1997,1,MUS85,Milk,6,1,7.41
PIP98,1998,1998,2,TEL90,Milk,0,0,8.48
PKN18,2018,2022,1,CNK04,True yeld,4,1,8.28
PKN19,2019,2022,1,CNK04,Milk,3,1,7.03
PLO84,1984,1990,2,TRN74,True yeld,6,1,6.44
PLS18,2018,2022,1,MAJ14,Summer yeld,4,1,6.44
PLV23,2023,2023,2,GLR18,Summer yeld,0,0,9.56
POM01,2001,2007,2,BNX93,True yeld,6,1,6.44
POR92,1992,1992,1,OAT87,Naïve,0,0,7.62
PPL12,2012,2016,1,FRT07,Milk,4,1,7.06
PPL16,2016,2023,2,FRT07,Milk,7,1,6.02
PRA89,1989,1990,1,TER84,Summer yeld,1,1,7.14
PRC06,2006,2021,1,TRT98,Summer yeld,15,1,8.82
PRC07,2007,2013,1,TRT98,Milk,6,1,8.08
PRC12,2012,2018,1,TRT98,Summer yeld,6,1,7.40
PRI90,1990,1992,1,PGB74,Milk,2,1,6.42
PRL17,2017,2021,1,SAP12,Naïve,4,1,6.96
PRL19,2019,2020,2,SAP12,Milk,1,1,7.68
PRN01,2001,2007,2,OXA95,True yeld,6,1,7.32
PRS93,1993,2008,2,ATH89,Naïve,15,1,6.16
PRS97,1997,2000,1,ATH89,True yeld,3,1,7.12
PRS98,1998,2002,1,ATH89,Milk,4,1,7.98
PRS99,1999,1999,2,ATH89,Milk,0,0,6.86
PSS12,2012,2019,2,CND06,True yeld,7,1,6.98
PSS14,2014,2018,1,CND06,True yeld,4,1,6.86
PSS18,2018,2022,1,CND06,True yeld,4,1,5.31
PSS22,2022,2022,1,CND06,True yeld,0,0,4.34
PTL93,1993,2001,2,MNX89,Naïve,8,1,4.78
PUE17,2017,2021,2,NAV12,Winter yeld,4,1,7.21
PUF01,2001,2001,2,POM97,Naïve,0,0,4.24
PUF06,2006,2023,1,POM97,Winter yeld,17,1,5.15
QIN20,2020,2022,1,MCU17,Naïve,2,1,5.34
QIN22,2022,2022,2,MCU17,Milk,0,0,5.94
QUE21,2021,2021,1,PSS18,Naïve,0,0,5.32
QUN97,1997,2001,1,CAF89,Summer yeld,4,1,8.22
QUN98,1998,2001,1,CAF89,Milk,3,1,8.12
RAD08,2008,2008,1,DEO05,Naïve,0,0,6.04
RBY02,2002,2016,1,STO98,Naïve,14,1,7.09
RBY12,2012,2016,2,STO98,True yeld,4,1,6.84
RDD16,2016,2018,1,CLK04,Milk,2,1,6.74
RED74,1974,1992,1,REDYE,Milk,18,1,9.14
RGR73,1973,1979,2,RGRHI,Milk,6,1,8.38
RGR75,1975,1975,1,RGRHI,Milk,0,0,8.02
RHE09,2009,2011,2,OXY05,Naïve,2,1,5.64
RHE13,2013,2013,1,OXY05,Milk,0,0,3.44
RIB00,2000,2000,2,BCL96,Naïve,0,0,7.02
RIB02,2002,2006,2,BCL96,True yeld,4,1,6.44
ROB17,2017,2023,2,WRE07,Summer yeld,6,1,6.73
ROM02,2002,2007,1,TIN95,True yeld,5,1,6.02
RPP06,2006,2018,2,RUF00,Summer yeld,12,1,6.90
RPP11,2011,2015,1,RUF00,Winter yeld,4,1,6.23
RPP12,2012,2017,1,RUF00,Milk,5,1,5.79
RTN76,1976,1983,2,RTNIC,Summer yeld,7,1,7.65
RUF06,2006,2009,2,GOD97,Winter yeld,3,1,5.86
RUF09,2009,2019,1,GOD97,Winter yeld,10,1,4.32
SAO02,2002,2003,1,TOS96,Winter yeld,1,1,5.98
SAP12,2012,2021,1,RBY02,Winter yeld,9,1,4.95
SAX00,2000,2004,1,TAM93,Milk,4,1,7.20
SAX97,1997,2002,1,TAM93,Naïve,5,1,6.96
SAX98,1998,2005,1,TAM93,Milk,7,1,6.68
SAX99,1999,2005,1,TAM93,Milk,6,1,6.62
SCI87,1987,2001,2,BLO80,True yeld,14,1,8.44
SCO79,1979,1980,1,SCOLL,Milk,1,1,4.78
SCP15,2015,2020,2,EID03,Winter yeld,5,1,
SCR04,2004,2017,1,GRA93,Milk,13,1,6.00
SCT03,2003,2006,2,CRM99,Naïve,3,1,6.34
SCT07,2007,2010,2,CRM99,True yeld,3,1,7.58
